Alpha,Cl,Cd
-121.0,0.20299105855503444,0.68323197390194
-120.0,0.20207259421636897,0.7000000000000002
-119.0,0.20066755670014294,0.7164786700919689
-118.0,0.19878678020049007,0.7326492954567841
-117.0,0.1964411556232856,0.748493576172282
-116.0,0.1936416472468122,0.7639936229839213
-115.0,0.19039930655052503,0.7791319786691999
-114.0,0.18672528347052914,0.793891638871849
-113.0,0.18263083531102414,0.8082560723805712
-112.0,0.17812733351553994,0.8222092408277344
-111.0,0.17322626847969202,0.835735617784167
-110.0,0.16793925256796102,0.8488202072269222
-109.0,0.16227802148022666,0.8614485613576454
-108.0,0.1562544340991192,0.8736067977499791
-107.0,0.1498804709364015,0.8852816158052472
-106.0,0.1431682312853048,0.8964603124965131
-105.0,0.13612992917579705,0.9071307973819673
-104.0,0.12877788822098693,0.9172816068694967
-103.0,0.12112453543509197,0.926901917715197
-102.0,0.11318239409649533,0.9359815597395247
-101.0,0.10496407572326355,0.9445110277457393
-100.0,0.09648227122299322,0.952481492626261
-99.0,0.08774974127391114,0.9598848116435538
-98.0,0.07877930598969014,0.9667135378731531
-97.0,0.069583833916395,0.9729609287974836
-96.0,0.06017623040627923,0.9786209540401374
-95.0,0.05056942540975877,0.9836883022313383
-94.0,0.04077636072375008,0.9881583869963725
-93.0,0.03080997673162663,0.9920273520598422
-92.0,0.02068319866729237,0.9952920754596621
-91.0,0.010408922433246984,0.9979501728658196
-90.0,-3.6739403974420595e-17,1.0
-89.0,-0.010530775588253629,1.0014406541532763
-88.0,-0.021170685579182866,1.0022719748001623
-87.0,-0.03190710122896554,1.002494543308431
-86.0,-0.042727499852289165,1.0021096817451975
-85.0,-0.05361948119039945,1.0011194507808698
-84.0,-0.06457078408437641,0.9995266466936681
-83.0,-0.07556930344340558,0.997334797478513
-82.0,-0.08660310750050933,0.994548158065166
-81.0,-0.09766045535105729,0.9911717046515999
-80.0,-0.10872981477240806,0.9872111281596472
-79.0,-0.11979988032628372,0.9826728268210482
-78.0,-0.13085959174898487,0.9775638979030763
-77.0,-0.14189815263835445,0.97189212858397
-76.0,-0.15290504945054753,0.9656659859894303
-75.0,-0.1638700708242029,0.9588946064024715
-74.0,-0.1747833272546181,0.9515877836599129
-73.0,-0.18563527114604655,0.9437559567497945
-72.0,-0.1964167172763647,0.9354101966249684
-71.0,-0.2071188637151683,0.9265621922490764
-70.0,-0.2177333132439626,0.9172242358920557
-69.0,-0.22825209533562296,0.9074092076932272
-68.0,-0.23866768875985833,0.8971305595109168
-67.0,-0.24897304489216648,0.8864022980784261
-66.0,-0.25916161181590747,0.875238967487009
